X;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
navigateur;0.333333;0;0;0;0;0
serveur web;0.333333;0;0;0;0;0
fichier;0;0.333333;0;0;0;0
donnée;0;0;0;0;0.4;0.4
php;0;0;0;0;0.25;0
code;0;0;0;0;0.25;0
texte;0.333333;0;0;0;0;0
concerner;0.333333;0;0;0;0;0
commentaire;0;0.333333;0;0;0;0
fois;0;0;0;0;0.25;0
url;0;0;0;0.333333;0;0
case à cocher;0;0.333333;0;0;0;0
post;0;0;0;0;0.25;0
text;0;0;0;0;0.4;0.4
langage;0;0;0;0.333333;0;0
utilisateur;0.333333;0;0;0;0;0
case;0;0;0;0.333333;0;0
personne;0.333333;0;0;0;0;0
méthode post;0;0;0.333333;0;0;0
fermeture;0;0;0;0.333333;0;0
mysql;0.333333;0;0;0;0;0
site;0;0;0;0;0.25;0
serveur;0;0.333333;0;0;0;0
typage;0;0;0;0;0;0.25
foreach;0;0;0;0;0.25;0
list;0;0;0.333333;0;0;0
cle;0;0;0;0;0.25;0
mot;0;0;0;0;0;0.25
session;0;0;0;0.333333;0;0
chaîne;0;0;0;0.333333;0;0
