X;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web statiques;0.0357143;0;0;0;0;0
navigateur;0;0;0.0384615;0;0;0
disque dur;0.0689655;0;0;0.0689655;0;0
client serveur;0.0689655;0;0;0;0;0.0666667
ensemble;0.0357143;0;0;0;0;0
javascript;0.228571;0.2;0.242424;0;0;0.222222
perl;0.129032;0;0.137931;0;0;0.125
python;0.0357143;0;0;0;0;0
java;0.129032;0.111111;0;0.129032;0;0
code source;0.0357143;0;0;0;0;0
fichier texte;0.228571;0.2;0.242424;0.228571;0;0
mise en forme;0.0689655;0;0.0740741;0;0;0
affichage;0.348837;0.340426;0.365854;0.348837;0;0.340909
gras;0.0689655;0;0.0740741;0;0;0
chemin;0.0689655;0;0;0;0;0.0666667
lien hypertextes;0.325581;0.347826;0.341463;0;0.333333;0.348837
textuels;0.0357143;0;0;0;0;0
page web dynamique;0.0357143;0;0;0;0;0
post;0.129032;0;0.137931;0.129032;0;0
champ de saisie;0.325581;0.347826;0.341463;0;0.333333;0.348837
size;0.0689655;0;0;0;0.0714286;0
vide;0.0357143;0;0;0;0;0
liste déroulante;0.0689655;0;0.0740741;0;0;0
sélectionner;0.0357143;0;0;0;0;0
déclencher;0.0357143;0;0;0;0;0
réinitialisation;0.0689655;0.0588235;0;0;0;0
langage impératif;0.0357143;0;0;0;0;0
impératif;0.0357143;0;0;0;0;0
zones;0.0689655;0;0;0;0;0.0666667
affectation;0.129032;0.111111;0;0.129032;0;0
booléen;0.333333;0.355556;0.317073;0.333333;0.309524;0
réalité;0.0357143;0;0;0;0;0
concatène;0.0357143;0;0;0;0;0
addition;0.0689655;0;0;0;0;0.0666667
soustraction;0.0689655;0;0;0;0;0.0666667
multiplié;0.0357143;0;0;0;0;0
modulo;0.0689655;0;0;0;0;0.0666667
égalité;0.0689655;0;0.0740741;0;0;0
logiques;0.372093;0.333333;0;0.372093;0.380952;0.363636
syntaxe;0.129032;0;0.137931;0;0;0.125
prenom;0.228571;0;0;0.228571;0.235294;0.222222
structure de contrôle;0.129032;0.111111;0;0;0;0.125
définition;0.129032;0;0.137931;0;0;0.125
initialiser;0.129032;0.111111;0;0.129032;0;0
dépendre;0.0357143;0;0;0;0;0
passwd;0.0357143;0;0;0;0;0
machine;0.0357143;0;0;0;0;0
phase;0.0357143;0;0;0;0;0
être utile;0.0357143;0;0;0;0;0
boucle while;0.129032;0;0;0;0.133333;0.125
euro;0.0357143;0;0;0;0;0
etc;0.0689655;0;0;0;0;0.0666667
programmation;0.228571;0.2;0.242424;0;0;0.222222
détruire;0.129032;0;0;0.129032;0;0.125
second;0.0689655;0;0;0;0;0.0666667
ordinateur;0.0689655;0;0;0;0;0.0666667
université de rouen;0;0.030303;0;0;0;0
langage de programmation;0;0.0588235;0.0740741;0;0;0
évolué;0;0.030303;0;0;0;0
crée;0;0.030303;0;0;0;0
côté client;0;0.030303;0;0;0;0
manuel;0;0.030303;0;0;0;0
français;0;0.030303;0;0;0;0
typage;0;0.030303;0;0;0;0
attention;0;0.030303;0;0;0;0
faute de frappe;0;0.030303;0;0;0;0
entiers;0;0.111111;0;0.129032;0;0.125
3.14;0;0.030303;0;0;0;0
printf;0;0.0588235;0;0;0;0.0666667
comparaison;0;0.111111;0;0;0.133333;0.125
switch;0;0.347826;0.341463;0.325581;0.333333;0.348837
expr;0;0.030303;0;0;0;0
spécifique;0;0.030303;0;0;0;0
pointeur;0;0.030303;0;0;0;0
inverse;0;0.030303;0;0;0;0
trie;0;0.030303;0;0;0;0
concaténation;0;0.0588235;0;0;0;0.0666667
accès;0;0.030303;0;0;0;0
strcmp;0;0.030303;0;0;0;0
trim;0;0.0588235;0;0;0;0.0666667
casse;0;0.030303;0;0;0;0
occurence;0;0.030303;0;0;0;0
décompte;0;0.030303;0;0;0;0
valeur de retour;0;0.0588235;0;0;0;0.0666667
passage par référence;0;0.0588235;0.0740741;0;0;0
traiter;0;0.030303;0;0;0;0
méthode;0;0.347826;0.341463;0.325581;0.333333;0.348837
navigation;0;0.0588235;0.0740741;0;0;0
rouen;0;0.030303;0;0;0;0
code postal;0;0.030303;0;0;0;0
mot de passe;0;0.0588235;0;0;0.0714286;0
rows;0;0.0588235;0;0;0;0.0666667
bouton radio;0;0.030303;0;0;0;0
radio;0;0.111111;0.137931;0;0;0.125
multiple;0;0.0588235;0;0;0;0.0666667
touche ctrl;0;0.030303;0;0;0;0
transfert de fichier;0;0.030303;0;0;0;0
fread;0;0.0588235;0.0740741;0;0;0
fin de fichier;0;0.030303;0;0;0;0
existence;0;0.030303;0;0;0;0
carte d’identité;0;0.030303;0;0;0;0
mémoire vive;0;0.030303;0;0;0;0
vouloir;0;0.030303;0;0;0;0
temps;0;0.2;0.242424;0.228571;0;0.222222
généralement;0;0.030303;0;0;0;0
min;0;0.030303;0;0;0;0
correct;0;0.030303;0;0;0;0
exe;0;0.030303;0;0;0;0
xhtml;0;0.030303;0;0;0;0
2.0;0;0.030303;0;0;0;0
programmation web;0;0;0.0384615;0;0;0
université antilles guyane;0;0;0.0384615;0;0;0
feuilles de style;0;0;0.0384615;0;0;0
pdf;0;0;0.0384615;0;0;0
capable;0;0;0.0384615;0;0;0
noël;0;0;0.0384615;0;0;0
client http;0;0;0.0384615;0;0;0
composer;0;0;0.0384615;0;0;0
recommandation w3c;0;0;0.0384615;0;0;0
w3c;0;0;0.0740741;0;0;0.0666667
head;0;0;0.0384615;0;0;0
information;0;0;0.0384615;0;0;0
êtres;0;0;0.0384615;0;0;0
doctype;0;0;0.137931;0;0.133333;0.125
structuration;0;0;0.0740741;0.0689655;0;0
sens;0;0;0.0740741;0;0.0714286;0
désormais;0;0;0.0384615;0;0;0
paragraphe;0;0;0.0384615;0;0;0
liste à puces;0;0;0.0384615;0;0;0
insertion;0;0;0.0384615;0;0;0
inline;0;0;0.0384615;0;0;0
uvre;0;0;0.0384615;0;0;0
h2;0;0;0.0384615;0;0;0
disponibilité;0;0;0.0384615;0;0;0
arial;0;0;0.0384615;0;0;0
times;0;0;0.0740741;0;0;0.0666667
chose;0;0;0.0384615;0;0;0
texte gras;0;0;0.0384615;0;0;0
rouge;0;0;0.0740741;0;0;0.0666667
abuser;0;0;0.0384615;0;0;0
css 3;0;0;0.0384615;0;0;0
souris;0;0;0.0384615;0;0;0
positionnement;0;0;0.0384615;0;0;0
anglais;0;0;0.0740741;0;0;0.0666667
dtd;0;0;0.0740741;0;0;0.0666667
charset;0;0;0.0384615;0;0;0
auto;0;0;0.0384615;0;0;0
droite;0;0;0.0384615;0;0;0
comportement;0;0;0.0740741;0;0;0.0666667
allonger;0;0;0.0384615;0;0;0
chevauchements;0;0;0.0384615;0;0;0
em;0;0;0.0384615;0;0;0
active server pages;0;0;0.0384615;0;0;0
microsoft;0;0;0.0740741;0;0;0.0666667
exécutable;0;0;0.0384615;0;0;0
connaissance;0;0;0.0384615;0;0;0
langage c;0;0;0.0740741;0;0;0.0666667
nécessaire;0;0;0.0384615;0;0;0
transtypage;0;0;0.0384615;0;0;0
sensibles;0;0;0.0384615;0;0;0
nombre à virgule flottante;0;0;0.0740741;0;0;0.0666667
c++;0;0;0.0384615;0;0;0
dictionnaires;0;0;0.0384615;0;0;0
table de hachage;0;0;0.0384615;0;0;0
hachage;0;0;0.0384615;0;0;0
bois;0;0;0.0384615;0;0;0
unset;0;0;0.0740741;0;0;0.0666667
couleur;0;0;0.0740741;0;0;0.0666667
ecrire;0;0;0.0740741;0;0;0.0666667
key;0;0;0.0384615;0;0;0
info;0;0;0.0384615;0;0;0
parcours;0;0;0.0384615;0;0;0
égales;0;0;0.0740741;0;0;0.0666667
pouvoir;0;0;0.0384615;0;0;0
valeur par défaut;0;0;0.0740741;0;0;0.0666667
httpd;0;0;0.0384615;0;0;0
statiques;0;0;0.0740741;0;0;0.0666667
sport;0;0;0.0740741;0;0;0.0666667
selection multiple;0;0;0.0384615;0;0;0
possibilité;0;0;0.0740741;0;0;0.0666667
bouton;0;0;0.0384615;0;0;0
saisir;0;0;0.0384615;0;0;0
nom;0;0;0.0384615;0;0;0
entrée standard;0;0;0.0384615;0;0;0
mode connecté;0;0;0.0384615;0;0;0
mozilla;0;0;0.0384615;0;0;0
placer;0;0;0.0384615;0;0;0
rattacher;0;0;0.0384615;0;0;0
durée de vie;0;0;0.0740741;0;0;0.0666667
façon;0;0;0.0740741;0;0;0.0666667
path;0;0;0.0384615;0;0;0
lire;0;0;0.0740741;0;0;0.0666667
authentification;0;0;0.0384615;0;0;0
banque;0;0;0.0384615;0;0;0
droit;0;0;0.0384615;0;0;0
nobody;0;0;0.0384615;0;0;0
basename;0;0;0.0384615;0;0;0
dirname;0;0;0.0384615;0;0;0
touch;0;0;0.0384615;0;0;0
copy;0;0;0.0384615;0;0;0
rename;0;0;0.0384615;0;0;0
umask;0;0;0.0384615;0;0;0
ascii;0;0;0.0384615;0;0;0
handle;0;0;0.0384615;0;0;0
friends;0;0;0.0384615;0;0;0
