X;C3.csv;C5.csv;C6.csv
page;0;0.333333;0.333333
base;0;0.333333;0.333333
séparateur;0;0.2;0
bloc;0;0;0.2
commentaires;0;0;0.2
portée;0;0.333333;0.333333
booléens;0;0.333333;0.333333
supprimer;0;0.333333;0.333333
précédence;0;0.333333;0.333333
bits;0;0;0.2
comparaison;0;0.333333;0.333333
incrémentation;0;0.333333;0.333333
opérateur logiques;0;0.2;0
switch;0;0.333333;0.333333
valeur de retour;0;0.2;0
strftime;0;0;0.2
phpmyadmin;0;0;0.2
modifier;0;0.333333;0.333333
numériques;0;0.333333;0.333333
entiers;0;0;0.2
réels;0;0.2;0
enum;0;0.333333;0.333333
time;0;0;0.2
innodb;0;0.333333;0.333333
fulltext;0;0.333333;0.333333
séquence;0;0.2;0
fread;0;0.333333;0.333333
fichier par;0;0.333333;0.333333
sortie;0;0.333333;0.333333
sortie standard;0;0;0.2
ecriture;0;0;0.2
fin de fichier;0;0.333333;0.333333
fermer;0;0.2;0
système de fichiers;0;0.333333;0.333333
comparer;0;0.333333;0.333333
rectangle;0;0.333333;0.333333
polygones;0;0.333333;0.333333
programmation objet;0;0;0.2
opérateur;0;0.333333;0.333333
polymorphisme;0;0.333333;0.333333
self;0;0;0.2
destructeur;0;0.333333;0.333333
affectation;0;0.2;0
nouveauté;0;0.333333;0.333333
exceptions;0;0.333333;0.333333
inspirer;0;0.333333;0.333333
langage c;0;0.333333;0.333333
perl;0;0;0.2
rasmus lerdorf;0;0;0.2
site personnel;0;0.333333;0.333333
interpreter;0;0.2;0
contributeurs;0;0.333333;0.333333
juin;0;0;0.2
zeev suraski;0;0;0.2
modulaire;0;0;0.2
extensible;0;0.333333;0.333333
manquer;0;0.2;0
cohérente;0;0.2;0
zend;0;0;0.2
zend engine;0;0;0.2
mai;0;0.333333;0.333333
forum;0;0.333333;0.333333
messagerie;0;0.333333;0.333333
commerce électronique;0;0;0.2
banque;0;0.2;0
publication en ligne;0;0.333333;0.333333
lamp;0;0;0.2
incorporer;0;0.333333;0.333333
semblant;0;0.333333;0.333333
dédier;0;0.333333;0.333333
vitesse;0;0.2;0
côté;0;0.333333;0.333333
vbscript;0;0.333333;0.333333
jscript;0;0.333333;0.333333
activex;0;0.333333;0.333333
portage;0;0.333333;0.333333
plate-forme;0;0.333333;0.333333
langage de programmation procédural;0;0;0.2
procédural;0;0.333333;0.333333
nécessaire;0;0.2;0
unix;0;0;0.2
mac;0;0;0.2
second;0;0.333333;0.333333
distribution linux;0;0;0.2
répertoire personnel;0;0.333333;0.333333
uvre;0;0.2;0
employer;0;0;0.2
easyphp;0;0.333333;0.333333
coloration syntaxique;0;0.333333;0.333333
w3c;0;0.2;0
xhtml;0;0.333333;0.333333
css;0;0.333333;0.333333
entête;0;0.2;0
mozilla;0;0.333333;0.333333
galeon;0;0.333333;0.333333
konqueror;0;0.333333;0.333333
compatibles;0;0.333333;0.333333
bordélique;0;0.333333;0.333333
web;0;0.2;0
souple;0;0.333333;0.333333
point-virgule;0;0.2;0
lettre;0;0;0.2
dépendre;0;0.2;0
contexte;0;0.333333;0.333333
transtypage;0;0.2;0
signe égal;0;0.333333;0.333333
sans;0;0.333333;0.333333
echo;0;0.2;0
affiche;0;0.333333;0.333333
globale;0;0.2;0
variable locale;0;0.333333;0.333333
locale;0;0.333333;0.333333
grand nombre;0;0.2;0
files;0;0.2;0
upload;0;0.333333;0.333333
env;0;0;0.2
url;0;0;0.2
cache;0;0;0.2
dynamique;0;0.333333;0.333333
ambiguïté;0;0.333333;0.333333
chaîne vide;0;0.2;0
booléenne;0;0.333333;0.333333
architecture;0;0;0.2
nombre à virgule flottante;0;0.333333;0.333333
spécifier;0;0.2;0
puissance de 10;0;0.333333;0.333333
ascii;0;0.333333;0.333333
unicode;0;0.333333;0.333333
échapper;0;0.333333;0.333333
lf;0;0.333333;0.333333
carriage return;0;0.333333;0.333333
cr;0;0.333333;0.333333
antislash;0;0.2;0
notation octale;0;0.333333;0.333333
notation hexadécimale;0;0.333333;0.333333
hexadécimale;0;0.333333;0.333333
égal;0;0.2;0
valeur numérique;0;0.333333;0.333333
numérique;0;0.333333;0.333333
addition;0;0.2;0
val;0;0.333333;0.333333
table de hachage;0;0.333333;0.333333
hachage;0;0;0.2
pile;0;0;0.2
séparer;0;0;0.2
volée;0;0.333333;0.333333
cle;0;0.333333;0.333333
class;0;0;0.2
constantes;0;0.333333;0.333333
casse;0;0.333333;0.333333
redéfinir;0;0.333333;0.333333
gauche;0;0.333333;0.333333
droite;0;0.333333;0.333333
croître;0;0.333333;0.333333
associativité;0;0.333333;0.333333
modulo;0;0.333333;0.333333
division;0;0.2;0
division par deux;0;0.333333;0.333333
deux;0;0.2;0
message;0;0;0.2
oeil;0;0.333333;0.333333
affiche;0;0.2;0
exécutée;0;0.333333;0.333333
conditionnelle;0;0.333333;0.333333
sorte;0;0.333333;0.333333
list;0;0.333333;0.333333
case;0;0.2;0
ressembler à;0;0.2;0
homologue;0;0.333333;0.333333
existe;0;0.2;0
appel de fonction;0;0.333333;0.333333
type de valeurs;0;0.333333;0.333333
devoir;0;0.2;0
couvrir;0;0.333333;0.333333
limitation;0;0.333333;0.333333
conteneur;0;0.333333;0.333333
premier;0;0.2;0
choix multiples;0;0.333333;0.333333
vin;0;0.333333;0.333333
format de date;0;0.333333;0.333333
langue anglaise;0;0.2;0
français;0;0.2;0
semaine;0;0.2;0
heure internet;0;0.333333;0.333333
vendredi;0;0;0.2
janvier;0;0.333333;0.333333
24h;0;0.2;0
hiver;0;0.333333;0.333333
heure de greenwich;0;0.333333;0.333333
dec;0;0.333333;0.333333
fuseau horaire;0;0.333333;0.333333
samedi;0;0;0.2
lundi;0;0;0.2
second;0;0.333333;0.333333
fonction;0;0.333333;0.333333
siècle;0;0.333333;0.333333
numérique;0;0.333333;0.333333
intervalle;0;0.333333;0.333333
semaine 1;0;0.333333;0.333333
abréviation;0;0.333333;0.333333
littéral;0;0.2;0
september;0;0.333333;0.333333
septembre;0;0;0.2
semaine 3;0;0.333333;0.333333
système de gestion de base de donnée;0;0.2;0
relationnel;0;0.333333;0.333333
open source;0;0.333333;0.333333
mysql ab;0;0.333333;0.333333
licence;0;0.2;0
licence gpl;0;0.2;0
support technique;0;0.333333;0.333333
hébergeur;0;0.2;0
étrangères;0;0.333333;0.333333
notamment;0;0;0.2
moteur de recherche;0;0.333333;0.333333
sqlplus;0;0.333333;0.333333
intuitif;0;0.333333;0.333333
toolkit;0;0.333333;0.333333
qt;0;0.333333;0.333333
macos;0;0;0.2
configuration;0;0;0.2
ip;0;0.333333;0.333333
doute;0;0.2;0
administrateur;0;0.2;0
mise à jour;0;0.2;0
insert;0;0.2;0
tenir compte;0;0.2;0
quantité variables;0;0.333333;0.333333
medium;0;0.333333;0.333333
tris;0;0.333333;0.333333
champ de;0;0.333333;0.333333
insérer;0;0.333333;0.333333
plupart;0;0.2;0
préférence;0;0.333333;0.333333
février;0;0.333333;0.333333
mise;0;0.2;0
expliquer;0;0.333333;0.333333
plage;0;0.333333;0.333333
mm;0;0.333333;0.333333
fraction;0;0.333333;0.333333
soumettre;0;0.333333;0.333333
transaction;0;0;0.2
rollback;0;0;0.2
crash;0;0.333333;0.333333
contraintes;0;0.2;0
intégrité;0;0.333333;0.333333
parente;0;0.333333;0.333333
clé étrangère;0;0.2;0
fils;0;0.333333;0.333333
critère;0;0.2;0
flotter;0;0.333333;0.333333
order;0;0.333333;0.333333
simplicité;0;0.333333;0.333333
ouverte;0;0.333333;0.333333
numéroter;0;0.333333;0.333333
identiques;0;0.333333;0.333333
renommer;0;0;0.2
insertion;0;0.333333;0.333333
