X;C3.csv;C5.csv;C6.csv
définition;0.5;0.5;0.5
page;0.2;0;0
base;0.2;0;0
séparateur;0.333333;0;0.333333
bloc;0.333333;0.333333;0
commentaires;0.333333;0.333333;0
portée;0.2;0;0
type;0.5;0.5;0.5
booléens;0.2;0;0
chaîne;0;0;0.2
supprimer;0.2;0;0
précédence;0.2;0;0
bits;0.333333;0.333333;0
comparaison;0.2;0;0
incrémentation;0.2;0;0
opérateur logiques;0.333333;0;0.333333
logiques;0.5;0.5;0.5
structure de contrôle;0.5;0.5;0.5
foreach;0.5;0.5;0.5
switch;0.2;0;0
syntaxe;0.5;0.5;0.5
valeur de retour;0.333333;0;0.333333
post;0.5;0.5;0.5
strftime;0.333333;0.333333;0
mysql;0.5;0.5;0.5
phpmyadmin;0.333333;0.333333;0
utilisateur;0.5;0.5;0.5
modifier;0.2;0;0
numériques;0.2;0;0
entiers;0.333333;0.333333;0
réels;0.333333;0;0.333333
text;0.5;0.5;0.5
enum;0.2;0;0
time;0.333333;0.333333;0
sql;0.5;0.5;0.5
innodb;0.2;0;0
fulltext;0.2;0;0
séquence;0.333333;0;0.333333
fread;0.2;0;0
fichier par;0.2;0;0
sortie;0.2;0;0
sortie standard;0.333333;0.333333;0
ecriture;0.333333;0.333333;0
fin de fichier;0.2;0;0
fermer;0.333333;0;0.333333
système de fichiers;0.2;0;0
code;0;0.2;0
comparer;0.2;0;0
session;0.5;0.5;0.5
couleurs;0.5;0.5;0.5
rectangle;0.2;0;0
polygones;0.2;0;0
programmation objet;0.333333;0.333333;0
opérateur;0.2;0;0
classe;0.5;0.5;0.5
héritage;0.5;0.5;0.5
polymorphisme;0.2;0;0
self;0.333333;0.333333;0
constructeurs;0.5;0.5;0.5
destructeur;0.2;0;0
affectation;0.333333;0;0.333333
nouveauté;0.2;0;0
exceptions;0.2;0;0
sauvegarder;0.5;0.5;0.5
côté serveur;0.5;0.5;0.5
inspirer;0.2;0;0
langage c;0.2;0;0
java;0.5;0.5;0.5
perl;0.333333;0.333333;0
rasmus lerdorf;0.333333;0.333333;0
site personnel;0.2;0;0
interpreter;0.333333;0;0.333333
contributeurs;0.2;0;0
juin;0.333333;0.333333;0
zeev suraski;0.333333;0.333333;0
modulaire;0.333333;0.333333;0
extensible;0.2;0;0
supplémentaires;0.5;0.5;0.5
manquer;0.333333;0;0.333333
cohérente;0.333333;0;0.333333
serveur web;0.5;0.5;0.5
moteur;0.5;0.5;0.5
zend;0.333333;0.333333;0
zend engine;0.333333;0.333333;0
mai;0.2;0;0
c++;0.5;0.5;0.5
forum;0.2;0;0
messagerie;0.2;0;0
commerce électronique;0.333333;0.333333;0
banque;0.333333;0;0.333333
publication en ligne;0.2;0;0
voulez;0.5;0.5;0.5
lamp;0.333333;0.333333;0
linux;0.5;0.5;0.5
incorporer;0.2;0;0
javascript;0.5;0.5;0.5
semblant;0.2;0;0
navigateur;0.5;0.5;0.5
dédier;0.2;0;0
lire;0.5;0.5;0.5
page web;0.5;0.5;0.5
vitesse;0.333333;0;0.333333
côté;0.2;0;0
côté client;0.5;0.5;0.5
windows;0.5;0.5;0.5
vbscript;0.2;0;0
jscript;0.2;0;0
activex;0.2;0;0
portage;0.2;0;0
plate-forme;0.2;0;0
langage de programmation;0.5;0.5;0.5
langage de programmation procédural;0.333333;0.333333;0
procédural;0.2;0;0
nécessaire;0.333333;0;0.333333
python;0.5;0.5;0.5
unix;0.333333;0.333333;0
mac;0.333333;0.333333;0
second;0.2;0;0
distribution linux;0.333333;0.333333;0
mode;0.5;0.5;0.5
répertoire personnel;0.2;0;0
complexe;0.5;0.5;0.5
uvre;0.333333;0;0.333333
employer;0.333333;0.333333;0
easyphp;0.2;0;0
coloration syntaxique;0.2;0;0
w3c;0.333333;0;0.333333
xhtml;0.2;0;0
css;0.2;0;0
affichage;0.5;0.5;0.5
entête;0.333333;0;0.333333
mozilla;0.2;0;0
galeon;0.2;0;0
konqueror;0.2;0;0
compatibles;0.2;0;0
bordélique;0.2;0;0
endroit;0.5;0.5;0.5
web;0.333333;0;0.333333
souple;0.2;0;0
point-virgule;0.333333;0;0.333333
sensible;0.5;0.5;0.5
lettre;0.333333;0.333333;0
dépendre;0.333333;0;0.333333
contexte;0.2;0;0
transtypage;0.333333;0;0.333333
signe égal;0.2;0;0
sans;0.2;0;0
affiche;0.2;0;0
globale;0.333333;0;0.333333
variable locale;0.2;0;0
locale;0.2;0;0
grand nombre;0.333333;0;0.333333
upload;0.2;0;0
env;0.333333;0.333333;0
url;0.333333;0.333333;0
cache;0.333333;0.333333;0
dynamique;0.2;0;0
ambiguïté;0.2;0;0
chaîne vide;0.333333;0;0.333333
booléenne;0.2;0;0
architecture;0.333333;0.333333;0
nombre à virgule flottante;0.2;0;0
spécifier;0.333333;0;0.333333
puissance de 10;0.2;0;0
ascii;0.2;0;0
unicode;0.2;0;0
échapper;0.2;0;0
lf;0.2;0;0
carriage return;0.2;0;0
cr;0.2;0;0
antislash;0.333333;0;0.333333
notation octale;0.2;0;0
notation hexadécimale;0.2;0;0
hexadécimale;0.2;0;0
égal;0.333333;0;0.333333
valeur numérique;0.2;0;0
numérique;0.2;0;0
addition;0.333333;0;0.333333
val;0.2;0;0
table de hachage;0.2;0;0
hachage;0.333333;0.333333;0
pile;0.333333;0.333333;0
séparer;0.333333;0.333333;0
volée;0.2;0;0
cle;0.2;0;0
constantes;0.2;0;0
casse;0.2;0;0
redéfinir;0.2;0;0
integer;0.5;0.5;0.5
gauche;0.2;0;0
droite;0.2;0;0
croître;0.2;0;0
associativité;0.2;0;0
modulo;0.2;0;0
division;0.333333;0;0.333333
multiplication;0.5;0.5;0.5
division par deux;0.2;0;0
deux;0.333333;0;0.333333
message;0.333333;0.333333;0
temps;0.5;0.5;0.5
oeil;0.2;0;0
fois;0.5;0.5;0.5
affiche;0.333333;0;0.333333
mot;0.5;0.5;0.5
exécutée;0.2;0;0
conditionnelle;0.2;0;0
sorte;0.2;0;0
list;0.2;0;0
case;0.333333;0;0.333333
ressembler à;0.333333;0;0.333333
homologue;0.2;0;0
impossible;0.5;0.5;0.5
existe;0.333333;0;0.333333
appel de fonction;0.2;0;0
valeur par défaut;0.5;0.5;0.5
type de valeurs;0.2;0;0
devoir;0.333333;0;0.333333
couvrir;0.2;0;0
rappel;0.5;0.5;0.5
limitation;0.2;0;0
conteneur;0.2;0;0
droit;0.5;0.5;0.5
chose;0.5;0.5;0.5
premier;0.333333;0;0.333333
choix multiples;0.2;0;0
vin;0.2;0;0
format de date;0.2;0;0
langue anglaise;0.333333;0;0.333333
français;0.333333;0;0.333333
système;0.5;0.5;0.5
semaine;0.333333;0;0.333333
heure internet;0.2;0;0
internet;0.5;0.5;0.5
vendredi;0.333333;0.333333;0
janvier;0.2;0;0
24h;0.333333;0;0.333333
hiver;0.2;0;0
heure de greenwich;0.2;0;0
dec;0.2;0;0
fuseau horaire;0.2;0;0
machine;0.5;0.5;0.5
dimanche;0.5;0.5;0.5
samedi;0.333333;0.333333;0
lundi;0.333333;0.333333;0
second;0.2;0;0
fonction;0.2;0;0
siècle;0.2;0;0
numérique;0.2;0;0
intervalle;0.2;0;0
semaine 1;0.2;0;0
abréviation;0.2;0;0
