X;A1;A2;A3;A4;A5;C1;C2;C3;C4;C5;C6;C7;C8
science;0;0;0;0;0;0;0;0;0;0.125;0;0.181818;0
computer;0;0.176471;0;0;0;0;0;0.166667;0;0.277778;0;0.285714;0
statecharts;0;0;0;0;0;0.266667;0;0;0.277778;0.142857;0.25;0;0
systems;0.25;0;0;0;0.25;0;0;0.25;0;0;0;0;0
david harel;0;0;0;0;0;0;0;0;0;0.0666667;0;0;0
mathematics;0;0;0;0.222222;0;0;0.2;0;0;0;0;0;0
state;0.235294;0;0;0.142857;0.3125;0;0;0;0;0.210526;0;0;0
state machine;0;0;0;0.3;0;0.153846;0;0;0;0;0;0.25;0
diagrams;0;0;0;0;0;0;0;0;0.235294;0;0.285714;0;0.25
communication;0;0.153846;0;0;0;0;0;0;0.133333;0;0;0;0
units;0;0;0;0;0;0;0;0;0;0.0666667;0;0;0
language;0;0;0;0;0;0;0;0.0769231;0;0;0;0;0
behavior;0;0;0;0;0.222222;0.1875;0;0.222222;0.277778;0;0;0;0
complex;0;0;0;0;0;0;0;0;0;0;0.0909091;0;0
complex system;0.0769231;0;0;0;0;0;0;0;0;0;0;0;0
problem;0.142857;0;0;0;0;0.181818;0;0;0;0;0;0;0
reactive systems;0;0;0;0;0;0;0;0;0.0714286;0;0;0;0
example;0;0;0.25;0;0;0;0;0;0;0.176471;0;0.25;0
automobiles;0;0;0;0;0;0;0;0;0;0;0;0;0.0769231
networks;0;0.0833333;0;0;0;0;0;0;0;0;0;0;0
kind;0.2;0.214286;0;0;0;0;0.166667;0;0;0;0;0;0
way;0.1875;0.285714;0;0;0;0;0;0;0;0;0;0;0.1875
time;0;0;0;0;0;0;0;0.142857;0.133333;0;0;0;0
simulation;0;0;0;0;0;0;0;0.0769231;0;0;0;0;0
set;0;0.153846;0;0.222222;0;0;0;0;0;0;0;0;0
output;0;0;0;0.222222;0;0;0;0;0;0;0;0.181818;0
information;0;0;0;0;0;0;0;0;0;0;0.0909091;0;0
tool;0;0;0;0;0.0769231;0;0;0;0;0;0;0;0
number;0;0.25;0;0;0;0;0;0;0;0.210526;0;0.285714;0.166667
state transition;0;0;0;0;0;0;0.333333;0;0;0;0.285714;0;0.25
nature;0;0;0;0;0;0;0;0.0769231;0;0;0;0;0
triggering;0;0;0;0;0.125;0;0.272727;0;0;0;0.230769;0;0
hierarchical;0;0;0;0;0;0;0;0;0;0;0;0;0.0769231
orthogonality;0;0;0;0;0;0;0;0;0.133333;0.125;0;0;0
main;0.0769231;0;0;0;0;0;0;0;0;0;0;0;0
